file_name,model_name,description,execution_time,cost
toy_01.jpeg,gemini-2.5-flash-preview,"A blonde, curly-haired doll with expressive blue eyes lies on a light blue-grey sofa, seen from an overhead perspective. The doll is dressed in a textured, rust-colored jumpsuit and faces directly towards the viewer. Its relaxed posture against the soft fabric creates a serene and playful scene.",5.60,0.0009
toy_01.jpeg,gemini-2.0-flash,A doll with wavy blonde hair and blue eyes is lying on a light-blue couch. The doll is wearing a reddish-brown jumpsuit and is positioned diagonally across the couch. The doll's gaze is directed towards the viewer.,3.33,0.0008
toy_01.jpeg,gpt-4o-vision,"The image shows a doll with curly blonde hair, dressed in a reddish-brown outfit, sitting on a light gray couch. The doll has a neutral expression and its clothing consists of a sleeveless top and pants. The background features softly lit curtains, adding a serene touch to the scene.",6.29,0.0049
toy_01.jpeg,pixtral-12b-2409,"The image shows a doll with curly blonde hair and blue eyes, dressed in a maroon outfit. The doll is lying on its back on a light blue surface, with its arms and legs spread out. The doll's facial expression appears neutral, and its hair is styled in loose curls.",3.31,0.0009
toy_01.jpeg,pixtral-large-latest,"The image shows a doll with curly blonde hair, dressed in a maroon outfit, lying on a light blue surface. The doll has blue eyes and is positioned with its arms and legs slightly raised. The background appears to be a soft, cushioned material, possibly a couch or a chair.",8.68,0.0009
toy_01.jpeg,mistral-medium-latest,"The image shows a doll with blonde curly hair lying on a light blue couch. The doll is dressed in a maroon, ribbed fabric outfit and has a soft, realistic facial expression. Its arms and legs are slightly bent, giving it a relaxed and natural pose.",4.06,0.0009
toy_01.jpeg,mistral-small-latest,"The image shows a doll with blonde, curly hair lying on a light gray couch. The doll is dressed in a maroon, long-sleeved onesie and appears to have a soft, plastic face with blue eyes and a small mouth.",4.12,0.0009
toy_01.jpeg,blip,Caption: a doll laying on a couch with her hands in the air,4.28,0.0046
toy_01.jpeg,blip-2,a doll sitting on a couch,3.89,0.0060
toy_01.jpeg,llava-1.5-7b,"A brown haired doll is sitting on a couch, wearing a red dress. The doll has a blue eye and is positioned in a way that it appears to be looking up.",5.04,0.0050
drawing_04.jpeg,gemini-2.5-flash-preview,"This vibrant child's painting depicts a whimsical purple creature with a round body and a surprised expression. It features large, dark eyes, a small black nose, and several darker purple, paw print-like spots on its chest. The background transitions from light blue to green, adorned with simple green plant shapes, suggesting an imaginative outdoor setting.",2.41,0.0010
drawing_04.jpeg,gemini-2.0-flash,"The image shows a colorful, childlike painting of a purple and blue spotted creature with large, worried eyes. It stands on stumpy legs amidst green plants against a blue and green background. The art style is simple, with bold lines and watercolor-like paint application.",1.77,0.0008
drawing_04.jpeg,gpt-4o-vision,"The image depicts a colorful, imaginative creature with purple spots and large, expressive eyes. It has a whimsical and cartoonish design with dark purple ears and a rounded body. The background features light blue and green hues with abstract leafy shapes, enhancing the playful, artistic style.",5.23,0.0048
drawing_04.jpeg,pixtral-12b-2409,"The image depicts a child's drawing of a cow. The cow is primarily colored in white with purple spots and has large, expressive eyes. The background features green grass and a light blue sky, adding a simple yet charming backdrop to the artwork.",1.61,0.0009
drawing_04.jpeg,pixtral-large-latest,"The image depicts a whimsical, cartoonish cow painted in shades of purple and white. The cow has large, expressive eyes, a small nose, and two ears. It stands on a green background with some grassy elements, giving the impression of a pastoral setting. The artwork appears to be a child's drawing, characterized by its playful and imaginative style.",2.38,0.0010
drawing_04.jpeg,mistral-medium-latest,"The image depicts a whimsical, childlike drawing of a character with a large, round body and a small, surprised face. The character has purple spots on its body, purple antenna-like structures on its head, and is standing on a green, plant-like background. The drawing uses simple shapes and bright colors, giving it a playful and imaginative appearance.",2.65,0.0010
drawing_04.jpeg,mistral-small-latest,"The image depicts a whimsical drawing of a creature with a round body, large eyes, and antennae. It is painted with watercolors in shades of purple, green, and gray, featuring a playful and imaginative style. The background includes green leaf-like shapes, adding to the vibrant and childlike aesthetic.",1.74,0.0009
drawing_04.jpeg,blip,Caption: a drawing of a purple and white monster on a piece of paper,1.92,0.0046
drawing_04.jpeg,blip-2,a drawing of a cartoon character,1.84,0.0060
drawing_04.jpeg,llava-1.5-7b,"The image features a purple monster with a big belly, standing in a grassy area. The monster has two big eyes and appears to be looking at the viewer. The drawing is done in a colorful style, with the purple monster being the main focus.",4.04,0.0050
drawing_05.jpeg,gemini-2.5-flash-preview,"This image displays a child's colorful drawing of a fantastical creature, likely a unicorn, on white paper. The creature has a yellow body, black oval eyes, and a small red mouth, with prominent blue outlines. It features two yellow-and-purple ear-like appendages and a vibrant rainbow-striped horn. A decorative, multi-colored sticker is also visible in the upper right corner of the drawing.",2.10,0.0012
drawing_05.jpeg,gemini-2.0-flash,"The image is a child's drawing of a creature resembling a bunny or bear, rendered in crayon and marker. The creature has a light-yellow face, black eyes, a red nose, and a blue outline.  A colorful sticker is placed above the creature's head, perhaps representing the sun or moon.",2.09,0.0010
drawing_05.jpeg,gpt-4o-vision,"This is a colorful children's drawing of a whimsical creature resembling a bear with a rainbow unicorn horn and large eyes. The creature has blue outlines and a red heart-shaped nose, with purple inner ears. A sticker in the top left corner includes overlapping circles in various colors, adding an extra playful element to the image.",5.20,0.0049
drawing_05.jpeg,pixtral-12b-2409,"The image features a child's drawing of a polar bear with a blue body and yellow facial features. The bear has a rainbow-colored hat and purple feet. In the top right corner, there is a colorful circular emblem with the number 8.",1.79,0.0009
drawing_05.jpeg,pixtral-large-latest,"The image depicts a colorful drawing of a fish with a hook in its mouth. The fish has a blue outline with black eyes and a red hook. There is a yellow and purple object in the top right corner, possibly representing a sun or a ball. The background features light yellow scribbles, adding texture to the artwork.",2.18,0.0010
drawing_05.jpeg,mistral-medium-latest,"The image depicts a whimsical drawing of a fish with a large, open mouth and a colorful, patterned design on its body. The fish has a blue outline and yellow markings, with a small heart and a fishhook inside its mouth. Above the fish, there is a circular shape with a colorful, abstract pattern. The drawing appears to be done with markers or crayons on a piece of paper.",3.02,0.0011
drawing_05.jpeg,mistral-small-latest,"The image depicts a colorful drawing of a fish, likely created by a child. The fish is drawn with blue outlines and has yellow scribbles in the background. There is a small, colorful pinwheel attached to the fish's tail, adding a playful element to the artwork.",1.76,0.0009
drawing_05.jpeg,blip,Caption: a child's drawing of a fish on a piece of paper,3.60,0.0046
drawing_05.jpeg,blip-2,a child's drawing of a unicorn,1.65,0.0060
drawing_05.jpeg,llava-1.5-7b,"The image features a hand-drawn picture of a cute bunny with a rainbow tail. The bunny has a blue and yellow color scheme, and it is drawn on a piece of paper. The drawing is quite detailed, with the bunny's eyes, nose, and mouth all visible.",10.71,0.0050
drawing_02.jpeg,gemini-2.5-flash-preview,"This is a charming, painted image of a grey bear with white ears, snout, and paws, set against a textured blue background. The bear has simple black eyes, a black nose, and a small black mouth. A faint blue handprint is visible in the lower right corner, suggesting a child's artistic creation.",3.58,0.0010
drawing_02.jpeg,gemini-2.0-flash,"The image displays a child's painting of a grey and white teddy bear against a blue background. The bear has a simple, blocky form with visible brushstrokes and a childlike expression, with some white accents around the edges. A blue handprint can be seen on the bottom right corner of the blue background.
",2.05,0.0010
drawing_02.jpeg,gpt-4o-vision,"The image depicts a painting of a bear with a gray body and a white face, set against a blue background. The bear has simple, expressive black eyes and stands upright. The textured blue background includes visible handprints, adding a playful and creative touch to the artwork.",6.86,0.0048
drawing_02.jpeg,pixtral-12b-2409,"The image features a painting of a gray teddy bear with white accents on its face, paws, and feet. The background is a textured blue, giving the artwork a playful and whimsical feel. The painting is displayed on a light blue surface, enhancing the overall color scheme and aesthetic.",1.94,0.0009
drawing_02.jpeg,pixtral-large-latest,"The image depicts a charming, hand-painted illustration of a teddy bear on a blue background. The bear is primarily gray with white accents on its ears, face, and feet, and features simple black eyes and a small nose. The background has a textured, slightly splotchy appearance, adding to the artwork's whimsical and playful feel. There are faint handprints visible at the bottom, suggesting a child's involvement in the creation.",2.89,0.0011
drawing_02.jpeg,mistral-medium-latest,"The image depicts a simple, hand-painted picture of a teddy bear. The bear is primarily gray with white accents on its face, ears, and paws, set against a textured blue background. The painting appears to be done by a child, showcasing a charming and playful style with visible brushstrokes and a somewhat abstract form.",3.58,0.0010
drawing_02.jpeg,mistral-small-latest,"The image depicts a child's painting of a gray teddy bear on a blue background. The bear is drawn with simple, bold shapes and features, using black, gray, and white paint. The background shows a textured, hand-painted effect with various shades of blue.",1.71,0.0009
drawing_02.jpeg,blip,Caption: a drawing of a bear on a piece of paper,2.23,0.0046
drawing_02.jpeg,blip-2,a teddy bear,1.67,0.0060
drawing_02.jpeg,llava-1.5-7b,"The image features a teddy bear drawn on a piece of paper with a blue background. The bear is wearing a black shirt and has a sad expression. The bear's paws are also visible in the scene, adding to the overall composition of the image.",56.17,0.0050
toy_07.jpeg,gemini-2.5-flash-preview,"This image displays a playful LEGO Duplo setup on a large green baseplate. The scene features various colorful blocks forming elements like a brown tree with pink flowers, a small red house, and a light blue pond. Several animal figures, including an elephant carrying a sheep, a panda, a pig, and a duck, are scattered across this vibrant, imaginative landscape.",5.25,0.0011
toy_07.jpeg,gemini-2.0-flash,"The image shows a Duplo setup on a green baseplate inside a shelf. There are several Duplo animals including an elephant, panda, and sheep, along with various colorful Duplo bricks assembled into structures resembling a tree and a house. The scene has a playful and childlike quality, indicative of a child's imaginative play with building blocks.",3.43,0.0010
toy_07.jpeg,gpt-4o-vision,"The image depicts a collection of colorful LEGO pieces arranged on a green baseplate, forming a playful scene. It includes various animals like an elephant, a panda, and a small bird, as well as elements like a tree with a red flower. The setup conveys a whimsical and imaginative environment, likely representing a miniature zoo or park.",23.88,0.0050
